id,farm,sample,item,antibiotic,inhibition,sensitivity,microbe
1,Bangwe,Soil,Farm soil ,CTX,7,R,E. coli
1,Bangwe,Soil,Farm soil ,AMP,10,R,E. coli
1,Bangwe,Soil,Farm soil ,GM,20,S,E. coli
1,Bangwe,Soil,Home soil ,SXT,6,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,CIP,24,I,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,TGC,15,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,CTX,25,S,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,AMP,6,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,GM,6,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,SXT,6,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,CIP,20,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,TGC,24,S,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,CTX,21,S,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,AMP,6,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,GM,6,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,SXT,6,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,CIP,23,I,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,TGC,20,S,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,CTX,25,S,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,AMP,7,R,Klebsiella pneumoniae
1,Bangwe,Soil,Home soil ,GM,7,R,Klebsiella pneumoniae
1,Bangwe,Vegetable,Rape ,SXT,6,R,Klebsiella pneumoniae
1,Bangwe,Vegetable,Rape ,CIP,25,S,Klebsiella pneumoniae
1,Bangwe,Vegetable,Rape ,TGC,17,R,Klebsiella pneumoniae
1,Bangwe,Vegetable,Rape ,CTX,26,S,Klebsiella pneumoniae
